id,tokens,ner_tags,text,tokens_tags,ner_text,prompts
13125,"['The' 'crowd' 'in' 'the' 'church' 'was' 'wildly' 'supportive' ','
 'showering' 'Simpson' 'with' 'gifts' 'and' 'praise' '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'O', 'O', 'O', 'O', 'O']","The crowd in the church was wildly supportive , showering Simpson with gifts and praise .","['The(O)', 'crowd(O)', 'in(O)', 'the(O)', 'church(O)', 'was(O)', 'wildly(O)', 'supportive(O)', ',(O)', 'showering(O)', 'Simpson(B-Person)', 'with(O)', 'gifts(O)', 'and(O)', 'praise(O)', '.(O)']","The(O) crowd(O) in(O) the(O) church(O) was(O) wildly(O) supportive(O) ,(O) showering(O) Simpson(B-Person) with(O) gifts(O) and(O) praise(O) .(O)","Input: The crowd in the church was wildly supportive , showering Simpson with gifts and praise .
Output: The(O) crowd(O) in(O) the(O) church(O) was(O) wildly(O) supportive(O) ,(O) showering(O) Simpson(B-Person) with(O) gifts(O) and(O) praise(O) .(O)"
10158,['7.' 'Michael' 'Sandstod' '(' 'Denmark' ')' '4:24.427'],"['O', 'B-Person', 'I-Person', 'O', 'B-Location', 'O', 'O']",7. Michael Sandstod ( Denmark ) 4:24.427,"['7.(O)', 'Michael(B-Person)', 'Sandstod(I-Person)', '((O)', 'Denmark(B-Location)', ')(O)', '4:24.427(O)']",7.(O) Michael(B-Person) Sandstod(I-Person) ((O) Denmark(B-Location) )(O) 4:24.427(O),"Input: 7. Michael Sandstod ( Denmark ) 4:24.427
Output: 7.(O) Michael(B-Person) Sandstod(I-Person) ((O) Denmark(B-Location) )(O) 4:24.427(O)"
2465,['7.' 'Vaclavas' 'Kidikas' '(' 'Lithuania' ')' '60.92'],"['O', 'B-Person', 'I-Person', 'O', 'B-Location', 'O', 'O']",7. Vaclavas Kidikas ( Lithuania ) 60.92,"['7.(O)', 'Vaclavas(B-Person)', 'Kidikas(I-Person)', '((O)', 'Lithuania(B-Location)', ')(O)', '60.92(O)']",7.(O) Vaclavas(B-Person) Kidikas(I-Person) ((O) Lithuania(B-Location) )(O) 60.92(O),"Input: 7. Vaclavas Kidikas ( Lithuania ) 60.92
Output: 7.(O) Vaclavas(B-Person) Kidikas(I-Person) ((O) Lithuania(B-Location) )(O) 60.92(O)"
1775,['(' 'Jun' '26' ')' '(' 'Mar' '13' ')'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",( Jun 26 ) ( Mar 13 ),"['((O)', 'Jun(O)', '26(O)', ')(O)', '((O)', 'Mar(O)', '13(O)', ')(O)']",((O) Jun(O) 26(O) )(O) ((O) Mar(O) 13(O) )(O),"Input: ( Jun 26 ) ( Mar 13 )
Output: ((O) Jun(O) 26(O) )(O) ((O) Mar(O) 13(O) )(O)"
10344,['Maccabi' 'Petah' 'Tikva' '0' 'Betar' 'Jerusalem' '3'],"['B-Organization', 'I-Organization', 'I-Organization', 'O', 'B-Organization', 'I-Organization', 'O']",Maccabi Petah Tikva 0 Betar Jerusalem 3,"['Maccabi(B-Organization)', 'Petah(I-Organization)', 'Tikva(I-Organization)', '0(O)', 'Betar(B-Organization)', 'Jerusalem(I-Organization)', '3(O)']",Maccabi(B-Organization) Petah(I-Organization) Tikva(I-Organization) 0(O) Betar(B-Organization) Jerusalem(I-Organization) 3(O),"Input: Maccabi Petah Tikva 0 Betar Jerusalem 3
Output: Maccabi(B-Organization) Petah(I-Organization) Tikva(I-Organization) 0(O) Betar(B-Organization) Jerusalem(I-Organization) 3(O)"
8392,"['Simon' 'Frenz' '(' 'Germany' ')' 'beat' 'Martin' 'Heath' '(' 'Scotland'
 ')' '12-15' '15-6']","['B-Person', 'I-Person', 'O', 'B-Location', 'O', 'O', 'B-Person', 'I-Person', 'O', 'B-Location', 'O', 'O', 'O']",Simon Frenz ( Germany ) beat Martin Heath ( Scotland ) 12-15 15-6,"['Simon(B-Person)', 'Frenz(I-Person)', '((O)', 'Germany(B-Location)', ')(O)', 'beat(O)', 'Martin(B-Person)', 'Heath(I-Person)', '((O)', 'Scotland(B-Location)', ')(O)', '12-15(O)', '15-6(O)']",Simon(B-Person) Frenz(I-Person) ((O) Germany(B-Location) )(O) beat(O) Martin(B-Person) Heath(I-Person) ((O) Scotland(B-Location) )(O) 12-15(O) 15-6(O),"Input: Simon Frenz ( Germany ) beat Martin Heath ( Scotland ) 12-15 15-6
Output: Simon(B-Person) Frenz(I-Person) ((O) Germany(B-Location) )(O) beat(O) Martin(B-Person) Heath(I-Person) ((O) Scotland(B-Location) )(O) 12-15(O) 15-6(O)"
6591,['Ethiopia' '1' 'Uganda' '1'],"['B-Location', 'O', 'B-Location', 'O']",Ethiopia 1 Uganda 1,"['Ethiopia(B-Location)', '1(O)', 'Uganda(B-Location)', '1(O)']",Ethiopia(B-Location) 1(O) Uganda(B-Location) 1(O),"Input: Ethiopia 1 Uganda 1
Output: Ethiopia(B-Location) 1(O) Uganda(B-Location) 1(O)"
9600,"['Arequipa' 'shareholders' 'had' 'the' 'option' 'to' 'choose' 'C$' '30'
 'cash' 'or' '0.79' 'Barrick' 'shares' 'plus' '50' 'cents' 'for' 'each'
 'Arequipa' 'share' '.']","['B-Organization', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Miscellaneous', 'O', 'O', 'O', 'O', 'B-Organization', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organization', 'O', 'O']",Arequipa shareholders had the option to choose C$ 30 cash or 0.79 Barrick shares plus 50 cents for each Arequipa share .,"['Arequipa(B-Organization)', 'shareholders(O)', 'had(O)', 'the(O)', 'option(O)', 'to(O)', 'choose(O)', 'C$(B-Miscellaneous)', '30(O)', 'cash(O)', 'or(O)', '0.79(O)', 'Barrick(B-Organization)', 'shares(O)', 'plus(O)', '50(O)', 'cents(O)', 'for(O)', 'each(O)', 'Arequipa(B-Organization)', 'share(O)', '.(O)']",Arequipa(B-Organization) shareholders(O) had(O) the(O) option(O) to(O) choose(O) C$(B-Miscellaneous) 30(O) cash(O) or(O) 0.79(O) Barrick(B-Organization) shares(O) plus(O) 50(O) cents(O) for(O) each(O) Arequipa(B-Organization) share(O) .(O),"Input: Arequipa shareholders had the option to choose C$ 30 cash or 0.79 Barrick shares plus 50 cents for each Arequipa share .
Output: Arequipa(B-Organization) shareholders(O) had(O) the(O) option(O) to(O) choose(O) C$(B-Miscellaneous) 30(O) cash(O) or(O) 0.79(O) Barrick(B-Organization) shares(O) plus(O) 50(O) cents(O) for(O) each(O) Arequipa(B-Organization) share(O) .(O)"
1823,"['""' 'The' 'strategic' 'aim' 'of' 'European' 'integration' 'should' 'not'
 'in' 'any' 'way' 'damage' 'Ukraine' ""'s"" 'interests' 'in' 'post-Soviet'
 'areas' '.']","['O', 'O', 'O', 'O', 'O', 'B-Miscellaneous', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O', 'O', 'O', 'B-Miscellaneous', 'O', 'O']",""" The strategic aim of European integration should not in any way damage Ukraine 's interests in post-Soviet areas .","['""(O)', 'The(O)', 'strategic(O)', 'aim(O)', 'of(O)', 'European(B-Miscellaneous)', 'integration(O)', 'should(O)', 'not(O)', 'in(O)', 'any(O)', 'way(O)', 'damage(O)', 'Ukraine(B-Location)', ""'s(O)"", 'interests(O)', 'in(O)', 'post-Soviet(B-Miscellaneous)', 'areas(O)', '.(O)']","""(O) The(O) strategic(O) aim(O) of(O) European(B-Miscellaneous) integration(O) should(O) not(O) in(O) any(O) way(O) damage(O) Ukraine(B-Location) 's(O) interests(O) in(O) post-Soviet(B-Miscellaneous) areas(O) .(O)","Input: "" The strategic aim of European integration should not in any way damage Ukraine 's interests in post-Soviet areas .
Output: ""(O) The(O) strategic(O) aim(O) of(O) European(B-Miscellaneous) integration(O) should(O) not(O) in(O) any(O) way(O) damage(O) Ukraine(B-Location) 's(O) interests(O) in(O) post-Soviet(B-Miscellaneous) areas(O) .(O)"
11310,['Net' 'profit' '6.08' 'vs' '3.98'],"['O', 'O', 'O', 'O', 'O']",Net profit 6.08 vs 3.98,"['Net(O)', 'profit(O)', '6.08(O)', 'vs(O)', '3.98(O)']",Net(O) profit(O) 6.08(O) vs(O) 3.98(O),"Input: Net profit 6.08 vs 3.98
Output: Net(O) profit(O) 6.08(O) vs(O) 3.98(O)"
