id,tokens,ner_tags,text,tokens_tags,ner_text,prompts
10469,['PITTSBURGH' '56' '75' '.427' '14'],"['B-ORG', 'O', 'O', 'O', 'O']",PITTSBURGH 56 75 .427 14,"['PITTSBURGH(B-ORG)', '56(O)', '75(O)', '.427(O)', '14(O)']",PITTSBURGH(B-ORG) 56(O) 75(O) .427(O) 14(O),"Input: PITTSBURGH 56 75 .427 14
Output: PITTSBURGH(B-ORG) 56(O) 75(O) .427(O) 14(O)"
13771,"['Indonesia' 'sought' 'on' 'Thursday' 'to' 'play' 'down' 'a' 'fire' 'bomb'
 'attack' 'on' 'a' 'U.S.' 'consulate' 'earlier' 'this' 'week' ',' 'saying'
 'it' 'was' 'being' 'treated' 'as' 'a' 'criminal' 'rather' 'than' 'a'
 'political' 'act' ',' 'the' 'official' 'Antara' 'news' 'agency' 'said'
 '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']","Indonesia sought on Thursday to play down a fire bomb attack on a U.S. consulate earlier this week , saying it was being treated as a criminal rather than a political act , the official Antara news agency said .","['Indonesia(B-LOC)', 'sought(O)', 'on(O)', 'Thursday(O)', 'to(O)', 'play(O)', 'down(O)', 'a(O)', 'fire(O)', 'bomb(O)', 'attack(O)', 'on(O)', 'a(O)', 'U.S.(B-LOC)', 'consulate(O)', 'earlier(O)', 'this(O)', 'week(O)', ',(O)', 'saying(O)', 'it(O)', 'was(O)', 'being(O)', 'treated(O)', 'as(O)', 'a(O)', 'criminal(O)', 'rather(O)', 'than(O)', 'a(O)', 'political(O)', 'act(O)', ',(O)', 'the(O)', 'official(O)', 'Antara(B-LOC)', 'news(O)', 'agency(O)', 'said(O)', '.(O)']","Indonesia(B-LOC) sought(O) on(O) Thursday(O) to(O) play(O) down(O) a(O) fire(O) bomb(O) attack(O) on(O) a(O) U.S.(B-LOC) consulate(O) earlier(O) this(O) week(O) ,(O) saying(O) it(O) was(O) being(O) treated(O) as(O) a(O) criminal(O) rather(O) than(O) a(O) political(O) act(O) ,(O) the(O) official(O) Antara(B-LOC) news(O) agency(O) said(O) .(O)","Input: Indonesia sought on Thursday to play down a fire bomb attack on a U.S. consulate earlier this week , saying it was being treated as a criminal rather than a political act , the official Antara news agency said .
Output: Indonesia(B-LOC) sought(O) on(O) Thursday(O) to(O) play(O) down(O) a(O) fire(O) bomb(O) attack(O) on(O) a(O) U.S.(B-LOC) consulate(O) earlier(O) this(O) week(O) ,(O) saying(O) it(O) was(O) being(O) treated(O) as(O) a(O) criminal(O) rather(O) than(O) a(O) political(O) act(O) ,(O) the(O) official(O) Antara(B-LOC) news(O) agency(O) said(O) .(O)"
12773,['JOHANNESBURG' '1996-08-29'],"['B-LOC', 'O']",JOHANNESBURG 1996-08-29,"['JOHANNESBURG(B-LOC)', '1996-08-29(O)']",JOHANNESBURG(B-LOC) 1996-08-29(O),"Input: JOHANNESBURG 1996-08-29
Output: JOHANNESBURG(B-LOC) 1996-08-29(O)"
2408,['7.' 'Samson' 'Kitur' '(' 'Kenya' ')' '45.34'],"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']",7. Samson Kitur ( Kenya ) 45.34,"['7.(O)', 'Samson(B-PER)', 'Kitur(I-PER)', '((O)', 'Kenya(B-LOC)', ')(O)', '45.34(O)']",7.(O) Samson(B-PER) Kitur(I-PER) ((O) Kenya(B-LOC) )(O) 45.34(O),"Input: 7. Samson Kitur ( Kenya ) 45.34
Output: 7.(O) Samson(B-PER) Kitur(I-PER) ((O) Kenya(B-LOC) )(O) 45.34(O)"
1793,['$' '387.50' '(' '$' '386.95' ')'],"['O', 'O', 'O', 'O', 'O', 'O']",$ 387.50 ( $ 386.95 ),"['$(O)', '387.50(O)', '((O)', '$(O)', '386.95(O)', ')(O)']",$(O) 387.50(O) ((O) $(O) 386.95(O) )(O),"Input: $ 387.50 ( $ 386.95 )
Output: $(O) 387.50(O) ((O) $(O) 386.95(O) )(O)"
6388,['CRICKET' '-' 'ENGLISH' 'COUNTY' 'CHAMPIONSHIP' 'STANDINGS' '.'],"['O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'O']",CRICKET - ENGLISH COUNTY CHAMPIONSHIP STANDINGS .,"['CRICKET(O)', '-(O)', 'ENGLISH(B-MISC)', 'COUNTY(I-MISC)', 'CHAMPIONSHIP(I-MISC)', 'STANDINGS(O)', '.(O)']",CRICKET(O) -(O) ENGLISH(B-MISC) COUNTY(I-MISC) CHAMPIONSHIP(I-MISC) STANDINGS(O) .(O),"Input: CRICKET - ENGLISH COUNTY CHAMPIONSHIP STANDINGS .
Output: CRICKET(O) -(O) ENGLISH(B-MISC) COUNTY(I-MISC) CHAMPIONSHIP(I-MISC) STANDINGS(O) .(O)"
1361,"['The' 'chairman' 'of' 'national' 'carrier' 'EgyptAir' 'on' 'Thursday'
 'blamed' 'the' 'control' 'tower' 'at' 'Istanbul' 'airport' 'for' 'the'
 'EgyptAir' 'plane' 'accident' '.']","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O']",The chairman of national carrier EgyptAir on Thursday blamed the control tower at Istanbul airport for the EgyptAir plane accident .,"['The(O)', 'chairman(O)', 'of(O)', 'national(O)', 'carrier(O)', 'EgyptAir(B-ORG)', 'on(O)', 'Thursday(O)', 'blamed(O)', 'the(O)', 'control(O)', 'tower(O)', 'at(O)', 'Istanbul(B-LOC)', 'airport(O)', 'for(O)', 'the(O)', 'EgyptAir(B-ORG)', 'plane(O)', 'accident(O)', '.(O)']",The(O) chairman(O) of(O) national(O) carrier(O) EgyptAir(B-ORG) on(O) Thursday(O) blamed(O) the(O) control(O) tower(O) at(O) Istanbul(B-LOC) airport(O) for(O) the(O) EgyptAir(B-ORG) plane(O) accident(O) .(O),"Input: The chairman of national carrier EgyptAir on Thursday blamed the control tower at Istanbul airport for the EgyptAir plane accident .
Output: The(O) chairman(O) of(O) national(O) carrier(O) EgyptAir(B-ORG) on(O) Thursday(O) blamed(O) the(O) control(O) tower(O) at(O) Istanbul(B-LOC) airport(O) for(O) the(O) EgyptAir(B-ORG) plane(O) accident(O) .(O)"
12095,"['A' 'human' 'rights' 'activist' 'said' 'on' 'Wednesday' 'he' 'had' 'been'
 'released' 'after' 'more' 'than' 'two' 'weeks' 'in' 'detention' 'that'
 'followed' 'his' 'call' 'for' 'an' 'inquiry' 'into' 'the' 'death' 'of'
 'a' 'Gaza' 'man' 'interrogated' 'by' 'Palestinian' 'police' '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-MISC', 'O', 'O']",A human rights activist said on Wednesday he had been released after more than two weeks in detention that followed his call for an inquiry into the death of a Gaza man interrogated by Palestinian police .,"['A(O)', 'human(O)', 'rights(O)', 'activist(O)', 'said(O)', 'on(O)', 'Wednesday(O)', 'he(O)', 'had(O)', 'been(O)', 'released(O)', 'after(O)', 'more(O)', 'than(O)', 'two(O)', 'weeks(O)', 'in(O)', 'detention(O)', 'that(O)', 'followed(O)', 'his(O)', 'call(O)', 'for(O)', 'an(O)', 'inquiry(O)', 'into(O)', 'the(O)', 'death(O)', 'of(O)', 'a(O)', 'Gaza(B-LOC)', 'man(O)', 'interrogated(O)', 'by(O)', 'Palestinian(B-MISC)', 'police(O)', '.(O)']",A(O) human(O) rights(O) activist(O) said(O) on(O) Wednesday(O) he(O) had(O) been(O) released(O) after(O) more(O) than(O) two(O) weeks(O) in(O) detention(O) that(O) followed(O) his(O) call(O) for(O) an(O) inquiry(O) into(O) the(O) death(O) of(O) a(O) Gaza(B-LOC) man(O) interrogated(O) by(O) Palestinian(B-MISC) police(O) .(O),"Input: A human rights activist said on Wednesday he had been released after more than two weeks in detention that followed his call for an inquiry into the death of a Gaza man interrogated by Palestinian police .
Output: A(O) human(O) rights(O) activist(O) said(O) on(O) Wednesday(O) he(O) had(O) been(O) released(O) after(O) more(O) than(O) two(O) weeks(O) in(O) detention(O) that(O) followed(O) his(O) call(O) for(O) an(O) inquiry(O) into(O) the(O) death(O) of(O) a(O) Gaza(B-LOC) man(O) interrogated(O) by(O) Palestinian(B-MISC) police(O) .(O)"
3526,['Sheffield' '21' '10' '0' '11' '574' '696' '20'],"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Sheffield 21 10 0 11 574 696 20,"['Sheffield(B-ORG)', '21(O)', '10(O)', '0(O)', '11(O)', '574(O)', '696(O)', '20(O)']",Sheffield(B-ORG) 21(O) 10(O) 0(O) 11(O) 574(O) 696(O) 20(O),"Input: Sheffield 21 10 0 11 574 696 20
Output: Sheffield(B-ORG) 21(O) 10(O) 0(O) 11(O) 574(O) 696(O) 20(O)"
8156,['He' 'had' 'been' 'in' 'charge' 'for' 'six' 'months' '.'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",He had been in charge for six months .,"['He(O)', 'had(O)', 'been(O)', 'in(O)', 'charge(O)', 'for(O)', 'six(O)', 'months(O)', '.(O)']",He(O) had(O) been(O) in(O) charge(O) for(O) six(O) months(O) .(O),"Input: He had been in charge for six months .
Output: He(O) had(O) been(O) in(O) charge(O) for(O) six(O) months(O) .(O)"
